Sample Name,Dilution Factor,Analyte,Mass,Concentration,Units
20-046622-0047,50,Pb,208,-0.000464,ppm
20-046622-0048,50,Mn,55,2.208113,ppb
20-046622-0048,50,Fe,56,1.788923,ppm
20-046622-0048,50,Co,59,0.379938,ppb
20-046622-0048,50,Cu,65,0.820965,ppm
20-046622-0048,50,Zn,66,0.847077,ppm
20-046622-0048,50,Se,78,0.096627,ppm
20-046622-0048,50,Mo,95,446.458757,ppb
20-046622-0048,50,Pb,208,-0.000458,ppm
20-046622-0049,50,Mn,55,1.561255,ppb
20-046622-0049,50,Fe,56,2.083860,ppm
20-046622-0049,50,Co,59,0.394193,ppb
20-046622-0049,50,Cu,65,0.756627,ppm
20-046622-0049,50,Zn,66,0.662661,ppm
20-046622-0049,50,Se,78,0.069712,ppm
20-046622-0049,50,Mo,95,37.597817,ppb
20-046622-0049,50,Pb,208,-0.000495,ppm
20-046622-0050,50,Mn,55,1.350554,ppb
20-046622-0050,50,Fe,56,2.191763,ppm
20-046622-0050,50,Co,59,0.329323,ppb
20-046622-0050,50,Cu,65,0.685478,ppm
20-046622-0050,50,Zn,66,0.702762,ppm
20-046622-0050,50,Se,78,0.062816,ppm
20-046622-0050,50,Mo,95,7.886759,ppb
20-046622-0050,50,Pb,208,-0.000508,ppm
