Sample Name,Dilution Factor,Analyte,Mass,Concentration,Units
20-046622-0012,50,Zn,66,0.873595,ppm
20-046622-0012,50,Se,78,0.065324,ppm
20-046622-0012,50,Mo,95,8.861133,ppb
20-046622-0012,50,Pb,208,0.000457,ppm
20-046622-0013,50,Mn,55,2.041563,ppb
20-046622-0013,50,Fe,56,1.536241,ppm
20-046622-0013,50,Co,59,0.295295,ppb
20-046622-0013,50,Cu,65,0.844935,ppm
20-046622-0013,50,Zn,66,0.937661,ppm
20-046622-0013,50,Se,78,0.094803,ppm
20-046622-0013,50,Mo,95,118.437655,ppb
20-046622-0013,50,Pb,208,-0.000493,ppm
20-046622-0014,50,Mn,55,1.860115,ppb
20-046622-0014,50,Fe,56,1.501763,ppm
20-046622-0014,50,Co,59,0.345222,ppb
20-046622-0014,50,Cu,65,0.822382,ppm
20-046622-0014,50,Zn,66,1.060938,ppm
20-046622-0014,50,Se,78,0.092204,ppm
20-046622-0014,50,Mo,95,377.864890,ppb
20-046622-0014,50,Pb,208,-0.000466,ppm
20-046622-0015,50,Mn,55,2.199661,ppb
20-046622-0015,50,Fe,56,1.672331,ppm
20-046622-0015,50,Co,59,0.358311,ppb
20-046622-0015,50,Cu,65,0.867320,ppm
20-046622-0015,50,Zn,66,1.200709,ppm
20-046622-0015,50,Se,78,0.105162,ppm
20-046622-0015,50,Mo,95,341.857422,ppb
20-046622-0015,50,Pb,208,-0.000446,ppm
20-046622-0016,50,Mn,55,1.974824,ppb
20-046622-0016,50,Fe,56,1.624546,ppm
20-046622-0016,50,Co,59,0.399375,ppb
20-046622-0016,50,Cu,65,0.795915,ppm
20-046622-0016,50,Zn,66,1.070818,ppm
20-046622-0016,50,Se,78,0.102226,ppm
20-046622-0016,50,Mo,95,499.859664,ppb
20-046622-0016,50,Pb,208,-0.000461,ppm
20-046622-0017,50,Mn,55,1.941734,ppb
20-046622-0017,50,Fe,56,2.483196,ppm
20-046622-0017,50,Co,59,0.341180,ppb
20-046622-0017,50,Cu,65,0.603301,ppm
20-046622-0017,50,Zn,66,1.093455,ppm
20-046622-0017,50,Se,78,0.059372,ppm
20-046622-0017,50,Mo,95,11.825393,ppb
20-046622-0017,50,Pb,208,-0.000464,ppm
20-046622-0018,50,Mn,55,1.681470,ppb
20-046622-0018,50,Fe,56,2.732019,ppm
20-046622-0018,50,Co,59,0.323159,ppb
20-046622-0018,50,Cu,65,0.675951,ppm
20-046622-0018,50,Zn,66,0.981541,ppm
20-046622-0018,50,Se,78,0.064807,ppm
20-046622-0018,50,Mo,95,8.790764,ppb
20-046622-0018,50,Pb,208,-0.000527,ppm
20-046622-0019,50,Mn,55,1.428085,ppb
20-046622-0019,50,Fe,56,2.215294,ppm
20-046622-0019,50,Co,59,0.367366,ppb
20-046622-0019,50,Cu,65,0.563341,ppm
20-046622-0019,50,Zn,66,0.876485,ppm
20-046622-0019,50,Se,78,0.054548,ppm
20-046622-0019,50,Mo,95,8.635369,ppb
20-046622-0019,50,Pb,208,-0.000515,ppm
20-046622-0020,50,Mn,55,1.425629,ppb
20-046622-0020,50,Fe,56,0.645098,ppm
20-046622-0020,50,Co,59,0.342638,ppb
20-046622-0020,50,Cu,65,0.918370,ppm
20-046622-0020,50,Zn,66,0.587312,ppm
20-046622-0020,50,Se,78,0.071556,ppm
20-046622-0020,50,Mo,95,6.176978,ppb
20-046622-0020,50,Pb,208,-0.000518,ppm
20-046622-0021,50,Mn,55,1.881920,ppb
20-046622-0021,50,Fe,56,2.388926,ppm
20-046622-0021,50,Co,59,0.308246,ppb
20-046622-0021,50,Cu,65,1.027475,ppm
20-046622-0021,50,Zn,66,1.009654,ppm
20-046622-0021,50,Se,78,0.084424,ppm
20-046622-0021,50,Mo,95,71.481620,ppb
20-046622-0021,50,Pb,208,-0.000510,ppm
rinse,50,Mn,55,0.231615,ppb
rinse,50,Fe,56,0.020420,ppm
rinse,50,Co,59,0.035938,ppb
rinse,50,Cu,65,-0.001244,ppm
rinse,50,Zn,66,0.006645,ppm
rinse,50,Se,78,0.000093,ppm
rinse,50,Mo,95,0.110775,ppb
rinse,50,Pb,208,-0.000545,ppm
rinse,50,Mn,55,0.215514,ppb
rinse,50,Fe,56,0.010239,ppm
rinse,50,Co,59,0.049440,ppb
rinse,50,Cu,65,-0.001143,ppm
rinse,50,Zn,66,0.006699,ppm
rinse,50,Se,78,-0.000364,ppm
rinse,50,Mo,95,0.124861,ppb
rinse,50,Pb,208,-0.000546,ppm
rinse,50,Mn,55,0.262569,ppb
rinse,50,Fe,56,0.005688,ppm
rinse,50,Co,59,0.049789,ppb
rinse,50,Cu,65,-0.001137,ppm
rinse,50,Zn,66,0.006780,ppm
rinse,50,Se,78,0.000157,ppm
rinse,50,Mo,95,0.064578,ppb
rinse,50,Pb,208,-0.000546,ppm
5/50 ppb,1,Mn,55,4.876468,ppb
5/50 ppb,1,Fe,56,0.050040,ppm
5/50 ppb,1,Co,59,4.763048,ppb
5/50 ppb,1,Cu,65,0.048952,ppm
5/50 ppb,1,Zn,66,0.050174,ppm
5/50 ppb,1,Se,78,0.004913,ppm
5/50 ppb,1,Mo,95,4.942872,ppb
5/50 ppb,1,Pb,208,0.004588,ppm
magic rinse,50,Mn,55,0.940599,ppb
magic rinse,50,Fe,56,0.075754,ppm
magic rinse,50,Co,59,0.179791,ppb
magic rinse,50,Cu,65,-0.000319,ppm
magic rinse,50,Zn,66,0.011775,ppm
magic rinse,50,Se,78,0.000977,ppm
magic rinse,50,Mo,95,1.170201,ppb
magic rinse,50,Pb,208,-0.000436,ppm
rinse,50,Mn,55,0.270485,ppb
rinse,50,Fe,56,-0.004712,ppm
rinse,50,Co,59,0.042949,ppb
rinse,50,Cu,65,-0.001171,ppm
rinse,50,Zn,66,0.006715,ppm
rinse,50,Se,78,-0.000484,ppm
rinse,50,Mo,95,0.085293,ppb
rinse,50,Pb,208,-0.000526,ppm
rinse,50,Mn,55,0.268694,ppb
rinse,50,Fe,56,-0.005658,ppm
rinse,50,Co,59,0.043156,ppb
rinse,50,Cu,65,-0.001160,ppm
rinse,50,Zn,66,0.006866,ppm
rinse,50,Se,78,-0.000009,ppm
rinse,50,Mo,95,0.060425,ppb
rinse,50,Pb,208,-0.000544,ppm
Serum Blank,50,Mn,55,0.322110,ppb
Serum Blank,50,Fe,56,-0.006976,ppm
Serum Blank,50,Co,59,0.044946,ppb
Serum Blank,50,Cu,65,-0.001095,ppm
Serum Blank,50,Zn,66,0.007870,ppm
Serum Blank,50,Se,78,-0.000267,ppm
Serum Blank,50,Mo,95,0.081343,ppb
Serum Blank,50,Pb,208,-0.000527,ppm
QM-S Q1807,50,Mn,55,2.850495,ppb
QM-S Q1807,50,Fe,56,0.790699,ppm
QM-S Q1807,50,Co,59,3.825614,ppb
QM-S Q1807,50,Cu,65,1.146013,ppm
QM-S Q1807,50,Zn,66,1.037477,ppm
QM-S Q1807,50,Se,78,0.135948,ppm
QM-S Q1807,50,Mo,95,1.515979,ppb
QM-S Q1807,50,Pb,208,0.135960,ppm
20-046622-0022,50,Mn,55,1.812909,ppb
20-046622-0022,50,Fe,56,2.337895,ppm
20-046622-0022,50,Co,59,0.286509,ppb
20-046622-0022,50,Cu,65,0.959541,ppm
20-046622-0022,50,Zn,66,0.862723,ppm
20-046622-0022,50,Se,78,0.081240,ppm
20-046622-0022,50,Mo,95,222.434136,ppb
20-046622-0022,50,Pb,208,-0.000318,ppm
20-046622-0022 DUP,50,Mn,55,1.739368,ppb
20-046622-0022 DUP,50,Fe,56,2.326945,ppm
20-046622-0022 DUP,50,Co,59,0.228813,ppb
20-046622-0022 DUP,50,Cu,65,0.920967,ppm
20-046622-0022 DUP,50,Zn,66,0.837636,ppm
20-046622-0022 DUP,50,Se,78,0.080775,ppm
20-046622-0022 DUP,50,Mo,95,216.623214,ppb
20-046622-0022 DUP,50,Pb,208,-0.000411,ppm
20-046622-0023,50,Mn,55,2.256173,ppb
20-046622-0023,50,Fe,56,2.197296,ppm
20-046622-0023,50,Co,59,0.346198,ppb
20-046622-0023,50,Cu,65,0.976581,ppm
20-046622-0023,50,Zn,66,0.993225,ppm
